FULLNAME	NAME	総数H28	男性H28	女性H28	総数H27	男性H27	女性H27	総数H26	男性H26	女性H26	総数H25	男性H25	女性H25	総数H24	男性H24	女性H24	総数H23	男性H23	女性H23	総数H22	男性H22	女性H22	総数H21	男性H21	女性H21	総数H20	男性H20	女性H20	総数H19	男性H19	女性H19	総数H18	男性H18	女性H18	総数H17	男性H17	女性H17	総数H16	男性H16	女性H16	総数H15	男性H15	女性H15	総数H14	男性H14	女性H14
千代田区	Chiyoda Ku	58576	29255	29321	56873	28405	28468	54160	26976	27184	52284	26003	26281	48538	23948	24590	47887	23592	24295	47138	23279	23859	46060	22660	23400	45461	22240	23221	44954	21900	23054	43933	21164	22769	42968	20648	22320	41676	19908	21768	39784	18854	20930	39684	18796	20888
中央区	Chuo Ku	142995	68167	74828	138088	65759	72329	132610	63224	69386	128628	61249	67379	120297	57167	63130	116930	55580	61350	113871	54331	59540	110702	52918	57784	105230	50186	55044	102431	48781	53650	99078	47070	52008	93791	44417	49374	89532	42129	47403	86358	40657	45701	83124	39165	43959
港区	Minato Ku	243977	114992	128985	240585	113643	126942	235337	111138	124199	231538	109445	122093	208397	97371	111026	205599	95828	109771	201543	93979	107564	198859	93056	105803	195066	91234	103832	185610	86615	98995	176781	82312	94469	170971	79610	91361	166954	77673	89281	164171	76550	87621	162691	75891	86800
新宿区	Shinjuku Ku	334193	167763	166430	327712	164077	163635	324082	161799	162283	321172	160131	161041	284518	142210	142308	283819	141928	141891	282144	141238	140906	281037	140609	140428	278350	139272	139078	277078	138473	138605	275771	137661	138110	273596	136248	137348	270542	134675	135867	268101	133316	134785	265592	131884	133708
文京区	Bunkyo Ku	210312	100127	110185	207413	98815	108598	204258	97291	106967	201257	95862	105395	192961	91997	100964	191194	91242	99952	189286	90440	98846	187909	90089	97820	185782	89144	96638	183491	88150	95341	180667	86878	93789	177843	85557	92286	175421	84566	90855	174183	84069	90114	172419	83287	89132
台東区	Taito Ku	191749	98410	93339	189795	97242	92553	187792	96198	91594	185368	94711	90657	169999	87279	82720	168396	86397	81999	166984	85523	81461	165205	84330	80875	162744	82714	80030	161577	81915	79662	160171	81308	78863	158531	80449	78082	156940	79564	77376	155746	78971	76775	153857	78041	75816
墨田区	Sumida Ku	261723	130435	131288	258423	129057	129366	254627	127276	127351	252018	125910	126108	240691	121063	119628	240380	120792	119588	238356	119805	118551	235571	118364	117207	233241	116958	116283	230131	115463	114668	226372	113449	112923	224657	112473	112184	221882	111089	110793	219761	109907	109854	218743	109394	109349
江東区	Koto Ku	501501	248540	252961	493952	245017	248935	487142	241805	245337	480271	238407	241864	455366	227049	228317	450950	225159	225791	446393	223072	223321	436795	218264	218531	428294	214210	214084	422993	211552	211441	415866	208180	207686	403677	202545	201132	397150	199477	197673	389070	195763	193307	382172	192483	189689
品川区	Shinagawa Ku	378123	185552	192571	372077	182430	189647	368761	180839	187922	366584	179793	186791	353502	173563	179939	351350	172627	178723	348590	171468	177122	345413	169944	175469	342472	168490	173982	337774	166398	171376	334470	164913	169557	331530	163539	167991	327124	161516	165608	323919	160035	163884	320872	158440	162432
目黒区	Meguro Ku	271469	128182	143287	269689	127275	142414	267379	126048	141331	264811	124863	139948	255038	119684	135354	254185	119252	134933	253022	118590	134432	252845	118656	134189	252073	118479	133594	251358	118399	132959	247989	116673	131316	246645	116102	130543	246253	116071	130182	245753	115722	130031	243721	114958	128763
